Student ID,Academic Level,Interests,Skills,Career Path,Scholarship Name,Scholarship Eligibility,Scholarship Link
1,10Th,"Science, Math",Problem Solving,Engineer,National Science Scholarship,"10th grade, Science stream, >90% marks",https://scholarships.gov.in
2,10Th,"Math, Biology",Analytical Thinking,Biologist,Biology Research Grant,"10th grade, Biology stream, >85% marks",https://indiabioscience.org/grants
3,10Th,"Physics, Chemistry",Critical Thinking,Physicist,Physics Excellence Scholarship,"10th grade, Science stream, >80% marks",https://en.wikipedia.org/wiki/Swarnajayanti_Fellowship
4,10Th,"Social Studies, History",Research,Historian,History Research Grant,"10th grade, Arts stream, >75% marks",https://ichr.ac.in
5,10Th,"English, Writing",Creativity,Author,Creative Writing Scholarship,"10th grade, Arts stream, >80% marks",https://scholarships.gov.in
6,10Th,"Computer Science, Programming",Problem Solving,Software Developer,Tech Innovators Scholarship,"10th grade, Science stream, >85% marks",https://limeconnect.com/programs/page/google-lime-scholarship
7,10Th,"Economics, Math",Analytical Thinking,Economist,Young Economists Scholarship,"10th grade, Commerce stream, >80% marks",https://ysi.ineteconomics.org/
8,10Th,"Psychology, Empathy",Communication,Psychologist,Mental Health Scholarship,"10th grade, Arts stream, >75% marks",https://www.baerreintegration.org/scholarship
9,10Th,"Geography, Environmental Science",Research,Environmentalist,Green Future Scholarship,"10th grade, Science stream, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/environmental-science
10,10Th,"Art, Design",Creativity,Artist,Art Excellence Scholarship,"10th grade, Arts stream, >75% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/art
11,10Th,"Music, Creativity",Communication,Musician,Music Excellence Scholarship,"10th grade, Arts stream, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/music
12,10Th,"Physical Education, Discipline",Physical Fitness,Athlete,Sports Excellence Scholarship,"10th grade, >75% marks",https://www.ncaa.org/sports/2021/2/8/ncaa-scholarships-and-grants.aspx
13,10Th,"Chemistry, Physics",Research,Chemist,Chemistry Research Grant,"10th grade, Science stream, >85% marks",https://www.acs.org/funding/students/undergraduate-research.html
14,10Th,"Mathematics, Problem Solving",Analytical Thinking,Mathematician,Math Excellence Scholarship,"10th grade, Science stream, >90% marks",https://www.ams.org/programs/edu-support/undergrad/emp-math
15,10Th,"Biology, Chemistry",Research,Biochemist,Biochemistry Research Grant,"10th grade, Science stream, >85% marks",https://www.asbmb.org/education/undergraduate-research/awards
16,10Th,"Computer Science, Programming",Problem Solving,AI Engineer,AI Excellence Scholarship,"10th grade, Science stream, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/artificial-intelligence
17,10Th,"Social Studies, Psychology",Empathy,Social Worker,Social Work Scholarship,"10th grade, Arts stream, >75% marks",https://www.cswe.org/centers-initiatives/minority-fellowship-program/mfp-doctoral/msw-application-information/
18,10Th,"English, Literature",Writing,Author,Creative Writing Scholarship,"10th grade, Arts stream, >80% marks",https://scholarships.gov.in
19,10Th,"Geography, Environmental Science",Research,Geologist,Geology Research Grant,"10th grade, Science stream, >85% marks",https://www.geosociety.org/GSA/Education_Careers/Grants_Scholarships/GSA/grants/home.aspx
20,10Th,"Art, Design",Creativity,Graphic Designer,Design Excellence Scholarship,"10th grade, Arts stream, >75% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/design
21,12Th,"Science, Math",Problem Solving,Engineer,National Science Scholarship,"12th grade, Science stream, >90% marks",https://scholarships.gov.in
22,12Th,"Math, Biology",Analytical Thinking,Biologist,Biology Research Grant,"12th grade, Biology stream, >85% marks",https://indiabioscience.org/grants
23,12Th,"Physics, Chemistry",Critical Thinking,Physicist,Physics Excellence Scholarship,"12th grade, Science stream, >80% marks",https://en.wikipedia.org/wiki/Swarnajayanti_Fellowship
24,12Th,"Social Studies, History",Research,Historian,History Research Grant,"12th grade, Arts stream, >75% marks",https://ichr.ac.in
